trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,XAUUSD,bullish,fvg_retest,60.0,2026-08-10 10:45:00+00:00,4359.55,4349.55,4374.125,0.1,2026-08-10 11:30:00+00:00,4349.55,sl_hit,-1.0,-1.0,0.7000000000000001
2,XAUUSD,bullish,fvg_retest,60.0,2026-08-10 18:15:00+00:00,4347.26,4330.86,4371.485,0.06,2026-08-10 21:30:00+00:00,4371.485,tp_hit,1.4534999999999672,1.477134146341381,0.42
3,XAUUSD,bullish,fvg_retest,60.0,2026-08-12 05:45:00+00:00,4405.69,4397.18,4418.08,0.12,2026-08-12 07:00:00+00:00,4397.18,sl_hit,-1.021199999999917,-1.0,0.84
4,XAUUSD,bullish,fvg_retest,60.0,2026-08-12 07:30:00+00:00,4399.19,4397.18,4401.705,0.5,2026-08-12 07:30:00+00:00,4397.18,sl_hit,-1.0049999999996544,-1.0,3.5
5,XAUUSD,bullish,fvg_retest,60.0,2026-08-12 07:45:00+00:00,4400.22,4397.18,4404.28,0.33,2026-08-12 08:00:00+00:00,4404.28,tp_hit,1.339799999999832,1.3355263157893222,2.31
6,XAUUSD,bullish,fvg_retest,60.0,2026-08-12 10:30:00+00:00,4402.59,4397.12,4410.32,0.18,2026-08-12 11:00:00+00:00,4410.32,tp_hit,1.3913999999999214,1.4131627056671305,1.26
7,XAUUSD,bullish,fvg_retest,60.0,2026-08-12 14:30:00+00:00,4415.2,4405.83,4428.705,0.11,2026-08-12 15:15:00+00:00,4405.83,sl_hit,-1.030699999999988,-1.0,0.77
8,XAUUSD,bullish,fvg_retest,60.0,2026-08-12 15:30:00+00:00,4426.4,4405.83,4455.23,0.05,2026-08-12 15:30:00+00:00,4405.83,sl_hit,-1.0284999999999855,-1.0,0.35000000000000003
9,XAUUSD,bullish,fvg_retest,60.0,2026-08-12 23:00:00+00:00,4413.98,4410.93,4418.155,0.33,2026-08-12 23:00:00+00:00,4410.93,sl_hit,-1.00649999999976,-1.0,2.31
10,XAUUSD,bullish,fvg_retest,60.0,2026-08-12 23:45:00+00:00,4408.15,4406.39,4410.29,0.57,2026-08-13 01:00:00+00:00,4406.39,sl_hit,-1.003199999999606,-1.0,3.9899999999999998
11,XAUUSD,bullish,fvg_retest,60.0,2026-08-13 01:45:00+00:00,4400.25,4397.12,4404.47,0.32,2026-08-13 02:00:00+00:00,4404.47,tp_hit,1.3504000000000815,1.3482428115016318,2.24
