trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,XAUUSD,bearish,ob_retest,90.0,2026-06-03 10:30:00+00:00,4455.99,4472.39,4431.89,0.06,2026-06-03 16:30:00+00:00,4431.89,tp_hit,144.59999999999673,1.469512195121869,0.42
2,XAUUSD,bearish,fvg_retest,90.0,2026-06-03 16:45:00+00:00,4426.900000000001,4458.17,4380.97,0.03,2026-06-03 17:15:00+00:00,4458.17,sl_hit,-93.80999999999857,-1.0,0.21
3,XAUUSD,bearish,fvg_retest,85.0,2026-06-03 17:30:00+00:00,4451.8,4458.17,4442.72,0.16,2026-06-03 17:45:00+00:00,4458.17,sl_hit,-101.91999999999825,-1.0,1.12
4,XAUUSD,bearish,fvg_retest,85.0,2026-06-03 18:15:00+00:00,4445.650000000001,4458.17,4427.345,0.08,2026-06-04 01:15:00+00:00,4427.345,tp_hit,146.44000000000233,1.4620607028754777,0.56
5,XAUUSD,bearish,fvg_retest,85.0,2026-06-04 03:30:00+00:00,4450.56,4458.17,4439.62,0.13,2026-06-04 04:00:00+00:00,4458.17,sl_hit,-98.92999999999574,-1.0,0.91
6,XAUUSD,bearish,fvg_retest,85.0,2026-06-04 08:00:00+00:00,4480.84,4484.26,4476.16,0.29,2026-06-04 08:00:00+00:00,4476.16,tp_hit,135.72000000000844,1.368421052631635,2.03
7,XAUUSD,bearish,fvg_retest,85.0,2026-06-04 08:30:00+00:00,4473.04,4478.87,4464.82,0.17,2026-06-04 09:45:00+00:00,4464.82,tp_hit,139.74000000000436,1.409948542024075,1.1900000000000002
8,XAUUSD,bearish,fvg_retest,85.0,2026-06-05 15:30:00+00:00,4464.87,4475.43,4449.38,0.1,2026-06-05 15:30:00+00:00,4449.38,tp_hit,154.89999999999782,1.4668560606059844,0.7000000000000001
9,XAUUSD,bearish,fvg_retest,85.0,2026-06-05 16:00:00+00:00,4406.150000000001,4461.83,4322.58,0.02,2026-06-05 21:15:00+00:00,4322.58,tp_hit,167.14000000000124,1.500897988505775,0.14
10,XAUUSD,bearish,fvg_retest,80.0,2026-06-08 03:15:00+00:00,4343.4800000000005,4348.4,4336.6,0.22,2026-06-08 03:15:00+00:00,4348.4,sl_hit,-108.23999999998159,-1.0,1.54
11,XAUUSD,bearish,fvg_retest,100.0,2026-06-08 04:30:00+00:00,4314.360000000001,4339.99,4276.44,0.04,2026-06-08 08:30:00+00:00,4276.44,tp_hit,151.68000000000393,1.4795161919626285,0.28
