trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,XAUUSD,bullish,fvg_retest,65.0,2026-08-10 01:30:00+00:00,4343.929999999999,4337.27,4353.395,0.15,2026-08-10 02:45:00+00:00,4337.27,sl_hit,-99.89999999998417,-1.0,1.05
2,XAUUSD,bullish,fvg_retest,65.0,2026-08-10 03:15:00+00:00,4344.55,4316.96,4385.385,0.04,2026-08-10 04:15:00+00:00,4316.96,sl_hit,-110.3600000000006,-1.0,0.28
3,XAUUSD,bullish,fvg_retest,80.0,2026-08-10 07:30:00+00:00,4334.84,4327.68,4345.13,0.14,2026-08-10 08:45:00+00:00,4345.13,tp_hit,144.0599999999995,1.437150837988851,0.9800000000000001
4,XAUUSD,bullish,fvg_retest,80.0,2026-08-10 09:00:00+00:00,4347.48,4336.2,4363.975,0.09,2026-08-10 13:45:00+00:00,4336.2,sl_hit,-101.51999999999771,-1.0,0.63
5,XAUUSD,bullish,fvg_retest,80.0,2026-08-10 14:30:00+00:00,4334.8099999999995,4327.68,4344.905,0.14,2026-08-10 15:15:00+00:00,4327.68,sl_hit,-99.81999999998881,-1.0,0.9800000000000001
6,XAUUSD,bullish,ob_retest,85.0,2026-08-10 17:15:00+00:00,4330.349999999999,4316.5,4350.475,0.07,2026-08-10 17:30:00+00:00,4350.475,tp_hit,140.8750000000064,1.4530685920578847,0.49000000000000005
7,XAUUSD,bullish,fvg_retest,85.0,2026-08-10 18:15:00+00:00,4347.26,4330.86,4371.485,0.06,2026-08-10 21:30:00+00:00,4371.485,tp_hit,145.34999999999673,1.477134146341381,0.42
8,XAUUSD,bullish,fvg_retest,60.0,2026-08-10 22:30:00+00:00,4390.91,4379.64,4407.34,0.09,2026-08-11 03:00:00+00:00,4407.34,tp_hit,147.87000000000262,1.4578527062999982,0.63
9,XAUUSD,bullish,fvg_retest,60.0,2026-08-11 03:30:00+00:00,4414.2,4402.34,4431.44,0.09,2026-08-11 04:00:00+00:00,4402.34,sl_hit,-106.73999999999705,-1.0,0.63
10,XAUUSD,bullish,fvg_retest,60.0,2026-08-11 11:45:00+00:00,4374.98,4366.44,4387.265,0.12,2026-08-11 14:00:00+00:00,4387.265,tp_hit,147.42000000000917,1.43852459016403,0.84
11,XAUUSD,bullish,fvg_retest,60.0,2026-08-11 15:00:00+00:00,4387.92,4382.3,4395.825,0.18,2026-08-11 15:00:00+00:00,4395.825,tp_hit,142.28999999999542,1.4065836298932204,1.26
12,XAUUSD,bullish,fvg_retest,80.0,2026-08-11 15:15:00+00:00,4397.139999999999,4382.3,4418.775,0.07,2026-08-11 17:00:00+00:00,4382.3,sl_hit,-103.87999999999467,-1.0,0.49000000000000005
13,XAUUSD,bullish,fvg_retest,80.0,2026-08-11 22:00:00+00:00,4371.679999999999,4367.02,4378.22,0.22,2026-08-11 22:00:00+00:00,4367.02,sl_hit,-102.51999999997679,-1.0,1.54
14,XAUUSD,bullish,fvg_retest,80.0,2026-08-12 03:30:00+00:00,4380.95,4371.59,4394.44,0.11,2026-08-12 04:45:00+00:00,4394.44,tp_hit,148.3899999999976,1.4412393162393433,0.77
15,XAUUSD,bullish,fvg_retest,80.0,2026-08-12 05:30:00+00:00,4402.38,4397.18,4409.655,0.2,2026-08-12 05:45:00+00:00,4409.655,tp_hit,145.49999999999272,1.3990384615384406,1.4000000000000001
16,XAUUSD,bullish,fvg_retest,80.0,2026-08-12 07:30:00+00:00,4399.19,4397.18,4401.705,0.52,2026-08-12 07:30:00+00:00,4397.18,sl_hit,-104.51999999996406,-1.0,3.64
17,XAUUSD,bullish,fvg_retest,80.0,2026-08-12 07:45:00+00:00,4400.22,4397.18,4404.28,0.34,2026-08-12 08:00:00+00:00,4404.28,tp_hit,138.03999999998268,1.3355263157893222,2.3800000000000003
18,XAUUSD,bullish,fvg_retest,60.0,2026-08-12 09:00:00+00:00,4391.23,4382.94,4403.44,0.13,2026-08-12 09:45:00+00:00,4403.44,tp_hit,158.73000000000047,1.4728588661037503,0.91
19,XAUUSD,bullish,fvg_retest,80.0,2026-08-12 10:00:00+00:00,4403.59,4390.28,4423.08,0.08,2026-08-12 12:15:00+00:00,4423.08,tp_hit,155.91999999999825,1.4643125469571145,0.56
20,XAUUSD,bullish,fvg_retest,85.0,2026-08-12 12:30:00+00:00,4413.38,4405.83,4424.18,0.14,2026-08-12 15:15:00+00:00,4405.83,sl_hit,-105.70000000000255,-1.0,0.9800000000000001
21,XAUUSD,bullish,fvg_retest,80.0,2026-08-12 20:15:00+00:00,4403.849999999999,4397.12,4413.545,0.16,2026-08-12 21:00:00+00:00,4397.12,sl_hit,-107.67999999999303,-1.0,1.12
