trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,XAUUSD,bullish,fvg_retest,70.0,2025-12-15 07:15:00+00:00,4326.67,4324.05,4329.925,0.38,2025-12-15 07:15:00+00:00,4329.925,tp_hit,123.69000000000415,1.2423664122138338,2.66
2,XAUUSD,bullish,fvg_retest,70.0,2025-12-17 15:30:00+00:00,4328.099999999999,4318.02,4342.72,0.1,2025-12-17 15:45:00+00:00,4342.72,tp_hit,146.200000000008,1.450396825397046,0.7000000000000001
3,XAUUSD,bullish,fvg_retest,70.0,2025-12-17 16:00:00+00:00,4342.3,4331.41,4358.135,0.09,2025-12-17 16:00:00+00:00,4331.41,sl_hit,-98.01000000000293,-1.0,0.63
4,XAUUSD,bullish,fvg_retest,70.0,2025-12-17 17:30:00+00:00,4343.78,4331.05,4362.3,0.08,2025-12-17 17:30:00+00:00,4331.05,sl_hit,-101.83999999999651,-1.0,0.56
5,XAUUSD,bullish,fvg_retest,70.0,2025-12-17 22:30:00+00:00,4341.65,4337.02,4348.045,0.22,2025-12-18 01:00:00+00:00,4337.02,sl_hit,-101.85999999998239,-1.0,1.54
6,XAUUSD,bullish,fvg_retest,70.0,2025-12-22 01:30:00+00:00,4348.92,4338.69,4363.915,0.1,2025-12-22 02:00:00+00:00,4363.915,tp_hit,149.9499999999989,1.4657869012706939,0.7000000000000001
7,XAUUSD,bullish,fvg_retest,70.0,2025-12-22 02:15:00+00:00,4359.9,4350.03,4374.255,0.1,2025-12-22 03:30:00+00:00,4374.255,tp_hit,143.55000000000473,1.4544072948328908,0.7000000000000001
8,XAUUSD,bullish,fvg_retest,70.0,2025-12-22 23:15:00+00:00,4443.23,4435.28,4454.68,0.13,2025-12-23 01:00:00+00:00,4454.68,tp_hit,148.8500000000095,1.4402515723271685,0.91
9,XAUUSD,bullish,fvg_retest,70.0,2025-12-23 09:45:00+00:00,4484.3099999999995,4482.61,4486.36,0.61,2025-12-23 09:45:00+00:00,4486.36,tp_hit,125.0500000000111,1.2058823529414124,4.27
10,XAUUSD,bullish,fvg_retest,70.0,2025-12-23 14:00:00+00:00,4493.7,4485.42,4505.645,0.13,2025-12-23 14:15:00+00:00,4485.42,sl_hit,-107.63999999999669,-1.0,0.91
11,XAUUSD,bullish,fvg_retest,70.0,2025-12-23 17:45:00+00:00,4453.41,4439.02,4474.47,0.07,2025-12-23 18:45:00+00:00,4474.47,tp_hit,147.4200000000028,1.4635163307853545,0.49000000000000005
12,XAUUSD,bullish,fvg_retest,70.0,2025-12-24 14:15:00+00:00,4495.5199999999995,4488.17,4505.945,0.14,2025-12-24 15:00:00+00:00,4488.17,sl_hit,-102.89999999999237,-1.0,0.9800000000000001
