trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,BTCUSD,bullish,ob_retest,75.0,2026-03-09 22:30:00+00:00,69351.34,68313.23,70896.83,0.1,2026-03-10 11:00:00+00:00,70896.83,tp_hit,154.54900000000055,1.488753600292844,0.7000000000000001
2,BTCUSD,bullish,fvg_retest,75.0,2026-03-13 21:15:00+00:00,71206.5,70505.07,72255.07,0.14,2026-03-14 04:30:00+00:00,70505.07,sl_hit,-98.20019999999903,-1.0,0.9800000000000001
3,BTCUSD,bullish,fvg_retest,75.0,2026-03-14 08:15:00+00:00,71105.04,70402.4,72152.4,0.14,2026-03-14 09:30:00+00:00,70402.4,sl_hit,-98.36959999999993,-1.0,0.9800000000000001
4,BTCUSD,bullish,fvg_retest,75.0,2026-03-14 10:00:00+00:00,70632.4,69928.76,71678.76,0.14,2026-03-15 08:15:00+00:00,71678.76,tp_hit,146.4904000000001,1.48706725029845,0.9800000000000001
5,BTCUSD,bullish,fvg_retest,70.0,2026-03-15 14:45:00+00:00,71746.82,71046.2,72796.2,0.14,2026-03-16 01:45:00+00:00,72796.2,tp_hit,146.91319999999862,1.4977876737746214,0.9800000000000001
6,BTCUSD,bullish,fvg_retest,75.0,2026-03-16 02:15:00+00:00,72988.6,72286.65,74036.65,0.15,2026-03-16 04:00:00+00:00,72286.65,sl_hit,-105.29250000000174,-1.0,1.05
7,BTCUSD,bullish,ob_fvg,75.0,2026-03-16 14:00:00+00:00,73776.11,73074.11,74824.11,0.14,2026-03-16 17:30:00+00:00,73074.11,sl_hit,-98.28000000000002,-1.0,0.9800000000000001
8,BTCUSD,bullish,fvg_retest,70.0,2026-03-16 18:00:00+00:00,73554.75,72852.77,74602.77,0.14,2026-03-17 00:30:00+00:00,74602.77,tp_hit,146.72280000000057,1.4929485170517822,0.9800000000000001
9,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 10:30:00+00:00,74401.92,73701.63,75451.63,0.15,2026-03-17 13:00:00+00:00,73701.63,sl_hit,-105.04349999999904,-1.0,1.05
10,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 13:30:00+00:00,73746.55,73045.19,74795.19,0.14,2026-03-17 18:00:00+00:00,74795.19,tp_hit,146.80959999999993,1.4951522755788733,0.9800000000000001
11,BTCUSD,bullish,fvg_retest,70.0,2026-03-17 19:00:00+00:00,73908.06,73206.48,74956.48,0.15,2026-03-18 14:30:00+00:00,73206.48,sl_hit,-105.23700000000026,-1.0,1.05
12,BTCUSD,bullish,fvg_retest,75.0,2026-03-18 23:45:00+00:00,71162.7,70460.67,72210.67,0.14,2026-03-19 10:00:00+00:00,70460.67,sl_hit,-98.28419999999984,-1.0,0.9800000000000001
13,BTCUSD,bullish,fvg_retest,75.0,2026-03-19 18:15:00+00:00,69697.95,68992.03,70742.03,0.14,2026-03-19 18:30:00+00:00,68992.03,sl_hit,-98.82879999999976,-1.0,0.9800000000000001
14,BTCUSD,bullish,fvg_retest,75.0,2026-03-19 19:00:00+00:00,69406.01,68686.61,70477.46,0.14,2026-03-19 22:00:00+00:00,70477.46,tp_hit,150.00300000000163,1.4893661384487356,0.9800000000000001
15,BTCUSD,bullish,fvg_retest,75.0,2026-03-19 22:15:00+00:00,70349.84,69648.33,71398.33,0.14,2026-03-20 17:15:00+00:00,69648.33,sl_hit,-98.21139999999927,-1.0,0.9800000000000001
16,BTCUSD,bullish,fvg_retest,75.0,2026-03-20 23:15:00+00:00,70196.23,69494.0,71244.0,0.14,2026-03-22 02:45:00+00:00,69494.0,sl_hit,-98.31219999999944,-1.0,0.9800000000000001
17,BTCUSD,bearish,fvg_retest,75.0,2026-04-19 00:15:00+00:00,75713.91,76416.89,74666.89,0.14,2026-04-19 20:45:00+00:00,74666.89,tp_hit,146.5828000000006,1.48940225895475,0.9800000000000001
