trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,BTCUSD,bearish,fvg_retest,70.0,2026-06-01 01:30:00+00:00,73877.87,74379.84,73129.84,0.2,2026-06-01 09:30:00+00:00,73129.84,tp_hit,149.60599999999977,1.4901886566926252,1.4000000000000001
2,BTCUSD,bearish,fvg_retest,70.0,2026-06-01 10:45:00+00:00,72937.07,73438.92,72188.92,0.2,2026-06-01 15:00:00+00:00,72188.92,tp_hit,149.63000000000176,1.4907840988343564,1.4000000000000001
3,BTCUSD,bearish,fvg_retest,70.0,2026-06-03 00:45:00+00:00,67723.28,68225.28,66975.28,0.21,2026-06-03 01:15:00+00:00,66975.28,tp_hit,157.07999999999998,1.4900398406374502,1.47
4,BTCUSD,bearish,ob_retest,75.0,2026-06-03 02:00:00+00:00,66380.65,67680.14,64436.54,0.08,2026-06-04 02:00:00+00:00,64436.54,tp_hit,155.52879999999948,1.4960561451030676,0.56
5,BTCUSD,bearish,fvg_retest,70.0,2026-06-04 23:00:00+00:00,63616.68,64118.65,62868.65,0.21,2026-06-05 05:15:00+00:00,62868.65,tp_hit,157.08629999999974,1.4901886566926252,1.47
6,BTCUSD,bearish,fvg_retest,75.0,2026-06-05 09:15:00+00:00,62078.26,62878.15,60885.325,0.13,2026-06-05 10:30:00+00:00,62878.15,sl_hit,-103.98569999999992,-1.0,0.91
7,BTCUSD,bearish,fvg_retest,75.0,2026-06-05 12:45:00+00:00,62810.21,63312.18,62062.18,0.21,2026-06-05 14:45:00+00:00,62062.18,tp_hit,157.08629999999974,1.4901886566926252,1.47
8,BTCUSD,bearish,fvg_retest,70.0,2026-06-06 03:30:00+00:00,61299.74,61801.71,60551.71,0.22,2026-06-06 06:30:00+00:00,60551.71,tp_hit,164.56659999999974,1.4901886566926252,1.54
9,BTCUSD,bearish,fvg_retest,70.0,2026-06-06 11:45:00+00:00,61353.54,61855.5,60605.5,0.22,2026-06-06 13:00:00+00:00,60605.5,tp_hit,164.56880000000018,1.490238265997295,1.54
10,BTCUSD,bearish,fvg_retest,70.0,2026-06-06 13:15:00+00:00,60612.82,61113.65,59863.65,0.22,2026-06-06 15:45:00+00:00,61113.65,sl_hit,-110.18260000000039,-1.0,1.54
11,BTCUSD,bullish,fvg_retest,75.0,2026-06-14 23:30:00+00:00,63918.09,63418.04,64668.04,0.22,2026-06-15 00:15:00+00:00,64668.04,tp_hit,164.98900000000097,1.499750024997522,1.54
12,BTCUSD,bearish,fvg_retest,75.0,2026-06-16 20:30:00+00:00,65741.89,66243.97,64993.97,0.22,2026-06-17 11:30:00+00:00,64993.97,tp_hit,164.54239999999962,1.4896430847673592,1.54
13,BTCUSD,bearish,fvg_retest,75.0,2026-06-17 19:45:00+00:00,65955.07,66457.09,65207.09,0.23,2026-06-17 21:00:00+00:00,65207.09,tp_hit,172.03540000000243,1.4899406398151989,1.61
