trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,XAUUSD,bearish,fvg_retest,70.0,2026-06-08 04:30:00+00:00,4314.360000000001,4339.99,4276.44,0.04,2026-06-08 08:30:00+00:00,4276.44,tp_hit,151.68000000000393,1.4795161919626285,0.28
2,XAUUSD,bearish,fvg_retest,70.0,2026-06-08 14:45:00+00:00,4323.83,4339.99,4300.215,0.06,2026-06-08 16:30:00+00:00,4339.99,sl_hit,-96.95999999999913,-1.0,0.42
3,XAUUSD,bearish,fvg_retest,70.0,2026-06-08 17:00:00+00:00,4326.6900000000005,4339.99,4307.265,0.08,2026-06-08 18:45:00+00:00,4339.99,sl_hit,-106.3999999999942,-1.0,0.56
4,XAUUSD,bearish,fvg_retest,70.0,2026-06-08 22:15:00+00:00,4329.66,4341.57,4312.27,0.08,2026-06-09 06:15:00+00:00,4341.57,sl_hit,-95.27999999999884,-1.0,0.56
5,XAUUSD,bearish,fvg_retest,70.0,2026-06-10 17:15:00+00:00,4174.070000000001,4181.75,4163.025,0.13,2026-06-10 17:15:00+00:00,4163.025,tp_hit,143.58500000001277,1.4381510416669103,0.91
6,XAUUSD,bearish,ob_retest,75.0,2026-06-10 17:30:00+00:00,4160.72,4186.44,4122.965,0.04,2026-06-10 17:45:00+00:00,4122.965,tp_hit,151.02000000000044,1.4679237947123278,0.28
7,XAUUSD,bearish,ob_fvg,75.0,2026-06-10 18:00:00+00:00,4124.63,4186.44,4032.465,0.02,2026-06-11 02:00:00+00:00,4032.465,tp_hit,184.32999999999993,1.491101763468706,0.14
8,XAUUSD,bearish,fvg_retest,70.0,2026-06-11 12:00:00+00:00,4084.29,4097.39,4065.14,0.08,2026-06-11 15:15:00+00:00,4065.14,tp_hit,153.20000000000073,1.4618320610686686,0.56
9,XAUUSD,bearish,fvg_retest,70.0,2026-06-11 21:00:00+00:00,4151.64,4170.47,4123.82,0.06,2026-06-11 21:45:00+00:00,4170.47,sl_hit,-112.97999999999956,-1.0,0.42
10,XAUUSD,bearish,ob_retest,75.0,2026-06-15 08:45:00+00:00,4312.58,4333.15,4282.2,0.05,2026-06-15 11:30:00+00:00,4333.15,sl_hit,-102.84999999999856,-1.0,0.35000000000000003
11,XAUUSD,bearish,ob_retest,75.0,2026-06-23 08:00:00+00:00,4117.92,4145.22,4077.47,0.04,2026-06-24 04:00:00+00:00,4077.47,tp_hit,161.8000000000011,1.4816849816849818,0.28
12,XAUUSD,bearish,fvg_retest,70.0,2026-06-24 14:30:00+00:00,4044.03,4054.89,4028.265,0.1,2026-06-24 14:45:00+00:00,4054.89,sl_hit,-108.59999999999673,-1.0,0.7000000000000001
13,XAUUSD,bearish,fvg_retest,70.0,2026-06-25 01:15:00+00:00,4001.42,4004.68,3997.005,0.32,2026-06-25 01:30:00+00:00,4004.68,sl_hit,-104.31999999999245,-1.0,2.24
14,XAUUSD,bearish,fvg_retest,70.0,2026-06-25 02:00:00+00:00,3996.1200000000003,4004.68,3983.78,0.12,2026-06-25 02:30:00+00:00,4004.68,sl_hit,-102.71999999999389,-1.0,0.84
15,XAUUSD,bearish,fvg_retest,70.0,2026-06-25 03:45:00+00:00,3985.26,4004.08,3957.555,0.05,2026-06-25 04:00:00+00:00,4004.08,sl_hit,-94.09999999999854,-1.0,0.35000000000000003
