trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,EURUSD,bearish,fvg_retest,85.0,2026-01-05 12:30:00+00:00,1.168,1.16876,1.16734,1.32,2026-01-05 12:45:00+00:00,1.16876,sl_hit,-100.32000000001241,-1.0,9.24
2,EURUSD,bearish,fvg_retest,65.0,2026-01-05 15:15:00+00:00,1.16626,1.16783,1.16443,0.63,2026-01-05 16:00:00+00:00,1.16783,sl_hit,-98.90999999999052,-1.0,4.41
3,EURUSD,bearish,fvg_retest,85.0,2026-01-07 21:15:00+00:00,1.16791,1.16886,1.16696,1.03,2026-01-08 10:30:00+00:00,1.16696,tp_hit,97.85000000000068,1.0,7.21
4,EURUSD,bearish,ob_fvg,85.0,2026-01-08 15:45:00+00:00,1.16645,1.16793,1.16473,0.67,2026-01-08 19:15:00+00:00,1.16473,tp_hit,115.23999999999623,1.1621621621621825,4.69
5,EURUSD,bearish,fvg_retest,65.0,2026-01-08 19:30:00+00:00,1.16446,1.16557,1.16332,0.9,2026-01-08 23:30:00+00:00,1.16557,sl_hit,-99.899999999995,-1.0,6.3
6,EURUSD,bearish,fvg_retest,85.0,2026-01-09 00:00:00+00:00,1.16509,1.16654,1.16487,0.68,2026-01-09 03:30:00+00:00,1.16487,tp_hit,14.959999999992313,0.15172413793096162,4.760000000000001
7,EURUSD,bearish,fvg_retest,85.0,2026-01-09 08:00:00+00:00,1.16485,1.1654,1.16452,1.8,2026-01-09 09:00:00+00:00,1.16452,tp_hit,59.39999999998946,0.5999999999998386,12.6
8,EURUSD,bearish,fvg_retest,85.0,2026-01-09 09:15:00+00:00,1.16425,1.16521,1.16336,1.04,2026-01-09 10:00:00+00:00,1.16521,sl_hit,-99.84000000000748,-1.0,7.28
9,EURUSD,bearish,ob_retest,65.0,2026-01-09 10:45:00+00:00,1.16401,1.16523,1.16268,0.81,2026-01-09 15:30:00+00:00,1.16523,sl_hit,-98.81999999999992,-1.0,5.67
10,EURUSD,bearish,ob_retest,85.0,2026-01-09 16:00:00+00:00,1.16426,1.16621,1.16181,0.5,2026-01-09 17:15:00+00:00,1.16181,tp_hit,122.50000000000315,1.2564102564103556,3.5
11,EURUSD,bullish,fvg_retest,65.0,2026-01-26 01:45:00+00:00,1.18676,1.18589,1.18756,1.13,2026-01-26 01:45:00+00:00,1.18589,sl_hit,-98.30999999999167,-1.0,7.909999999999999
12,EURUSD,bullish,fvg_retest,65.0,2026-01-26 02:30:00+00:00,1.1855,1.18273,1.18918,0.35,2026-01-26 17:45:00+00:00,1.18918,tp_hit,128.7999999999967,1.328519855595663,2.4499999999999997
13,EURUSD,bullish,fvg_retest,85.0,2026-01-26 18:00:00+00:00,1.18966,1.18774,1.19209,0.51,2026-01-26 19:15:00+00:00,1.18774,sl_hit,-97.91999999999601,-1.0,3.5700000000000003
14,EURUSD,bullish,fvg_retest,85.0,2026-01-27 04:45:00+00:00,1.18983,1.18775,1.1925,0.47,2026-01-27 06:00:00+00:00,1.18775,sl_hit,-97.7599999999934,-1.0,3.29
15,EURUSD,bullish,fvg_retest,85.0,2026-01-27 09:15:00+00:00,1.1874,1.18651,1.18824,1.09,2026-01-27 09:45:00+00:00,1.18651,sl_hit,-97.01000000000627,-1.0,7.630000000000001
16,EURUSD,bullish,fvg_retest,85.0,2026-01-27 11:00:00+00:00,1.1862,1.18473,1.18788,0.65,2026-01-27 11:45:00+00:00,1.18788,tp_hit,109.20000000000819,1.142857142857337,4.55
17,EURUSD,bullish,fvg_retest,65.0,2026-01-28 01:45:00+00:00,1.20232,1.19872,1.20722,0.27,2026-01-28 04:00:00+00:00,1.19872,sl_hit,-97.2000000000013,-1.0,1.8900000000000001
18,EURUSD,bullish,ob_retest,85.0,2026-01-28 09:15:00+00:00,1.20222,1.19876,1.20701,0.28,2026-01-28 09:30:00+00:00,1.19876,sl_hit,-96.88000000000054,-1.0,1.9600000000000002
19,EURUSD,bearish,fvg_retest,85.0,2026-02-03 09:00:00+00:00,1.18111,1.18217,1.18002,0.89,2026-02-03 09:30:00+00:00,1.18217,sl_hit,-94.33999999998566,-1.0,6.23
20,EURUSD,bearish,fvg_retest,85.0,2026-02-03 10:30:00+00:00,1.1806,1.18165,1.17955,0.89,2026-02-03 10:45:00+00:00,1.18165,sl_hit,-93.44999999999959,-1.0,6.23
21,EURUSD,bearish,fvg_retest,85.0,2026-02-03 11:15:00+00:00,1.18038,1.18165,1.17895,0.73,2026-02-03 12:15:00+00:00,1.17895,tp_hit,104.3900000000031,1.1259842519684446,5.109999999999999
22,EURUSD,bearish,fvg_retest,85.0,2026-02-03 16:00:00+00:00,1.17935,1.18068,1.17783,0.7,2026-02-03 17:15:00+00:00,1.18068,sl_hit,-93.10000000000373,-1.0,4.8999999999999995
23,EURUSD,bearish,fvg_retest,85.0,2026-02-03 18:30:00+00:00,1.18077,1.18165,1.17995,1.05,2026-02-03 18:30:00+00:00,1.18165,sl_hit,-92.39999999999915,-1.0,7.3500000000000005
24,EURUSD,bearish,fvg_retest,85.0,2026-02-03 19:30:00+00:00,1.18159,1.18316,1.17981,0.58,2026-02-04 06:30:00+00:00,1.18316,sl_hit,-91.06000000000414,-1.0,4.06
25,EURUSD,bearish,fvg_retest,85.0,2026-02-04 21:15:00+00:00,1.17964,1.18047,1.17892,1.09,2026-02-04 21:45:00+00:00,1.18047,sl_hit,-90.46999999998762,-1.0,7.630000000000001
