trade_no,symbol,direction,signal_type,confluence_score,entry_time,entry_price,stop_loss,take_profit,lot_size,exit_time,exit_price,exit_reason,pnl_usd,pnl_r,commission
1,BTCUSD,bullish,fvg_retest,80.0,2026-03-05 01:45:00+00:00,72751.24,72227.49,73531.865,0.19,2026-03-05 08:00:00+00:00,72227.49,sl_hit,-99.5125,-1.0,1.33
2,BTCUSD,bullish,fvg_retest,80.0,2026-03-05 11:15:00+00:00,72609.62,72205.85,73207.1,0.25,2026-03-05 12:15:00+00:00,73207.1,tp_hit,149.37000000000262,1.4797533249127621,1.75
3,BTCUSD,bullish,fvg_retest,80.0,2026-03-05 12:30:00+00:00,73155.87,72615.96,73967.21,0.19,2026-03-05 15:00:00+00:00,72615.96,sl_hit,-102.5828999999979,-1.0,1.33
4,BTCUSD,bullish,fvg_retest,85.0,2026-03-07 17:00:00+00:00,68010.89,67819.62,68292.745,0.52,2026-03-07 17:30:00+00:00,67819.62,sl_hit,-99.46040000000212,-1.0,3.64
5,BTCUSD,bullish,fvg_retest,85.0,2026-03-07 18:15:00+00:00,67877.38,67819.62,67952.295,1.7,2026-03-07 18:15:00+00:00,67819.62,sl_hit,-98.19200000001582,-1.0,11.9
6,BTCUSD,bullish,fvg_retest,85.0,2026-03-08 05:15:00+00:00,66970.85,66134.9,68220.475,0.12,2026-03-09 01:00:00+00:00,66134.9,sl_hit,-100.3140000000014,-1.0,0.84
7,BTCUSD,bearish,ob_fvg,85.0,2026-03-09 01:15:00+00:00,66064.59,67019.99,64629.19,0.1,2026-03-09 06:00:00+00:00,67019.99,sl_hit,-95.54000000000087,-1.0,0.7000000000000001
8,BTCUSD,bearish,fvg_retest,80.0,2026-03-09 09:30:00+00:00,67496.29,67794.24,67053.465,0.32,2026-03-09 10:15:00+00:00,67053.465,tp_hit,141.70399999999907,1.4862393018962234,2.24
9,BTCUSD,bearish,fvg_retest,80.0,2026-03-09 11:45:00+00:00,67767.92,67794.24,67760.64,3.67,2026-03-09 11:45:00+00:00,67794.24,sl_hit,-96.59440000002563,-1.0,25.689999999999998
10,BTCUSD,bullish,fvg_retest,85.0,2026-03-09 15:15:00+00:00,67905.07,67659.53,68268.305,0.39,2026-03-09 15:30:00+00:00,68268.305,tp_hit,141.66164999999455,1.479331269854093,2.73
11,BTCUSD,bullish,fvg_retest,85.0,2026-03-09 16:45:00+00:00,69204.55,68591.03,70105.955,0.16,2026-03-09 20:30:00+00:00,68591.03,sl_hit,-98.16320000000066,-1.0,1.12
12,BTCUSD,bullish,ob_retest,65.0,2026-03-09 22:30:00+00:00,69351.34,68313.23,70896.83,0.09,2026-03-10 11:00:00+00:00,70896.83,tp_hit,139.09410000000045,1.488753600292844,0.63
13,BTCUSD,bullish,fvg_retest,65.0,2026-03-10 14:30:00+00:00,70647.14,70492.57,70874.095,0.63,2026-03-10 15:00:00+00:00,70492.57,sl_hit,-97.37909999999523,-1.0,4.41
14,BTCUSD,bullish,fvg_retest,65.0,2026-03-10 16:15:00+00:00,70748.25,70466.93,71161.355,0.34,2026-03-10 16:30:00+00:00,70466.93,sl_hit,-95.64880000000238,-1.0,2.3800000000000003
15,BTCUSD,bullish,fvg_retest,90.0,2026-03-10 17:30:00+00:00,69793.51,69377.1,70414.925,0.23,2026-03-10 17:30:00+00:00,70414.925,tp_hit,142.9254500000019,1.4923152662040409,1.61
16,BTCUSD,bullish,ob_fvg,90.0,2026-03-10 17:45:00+00:00,70444.25,69415.81,71982.26,0.09,2026-03-11 08:30:00+00:00,69415.81,sl_hit,-92.5596000000002,-1.0,0.63
17,BTCUSD,bullish,fvg_retest,85.0,2026-03-13 16:15:00+00:00,72789.91,72617.6,73044.6,0.56,2026-03-13 16:15:00+00:00,73044.6,tp_hit,142.62640000000133,1.4780918112704182,3.9200000000000004
18,BTCUSD,bullish,fvg_retest,80.0,2026-03-13 18:15:00+00:00,72642.95,72096.9,73457.075,0.18,2026-03-13 18:30:00+00:00,72096.9,sl_hit,-98.28900000000053,-1.0,1.26
19,BTCUSD,bullish,fvg_retest,100.0,2026-03-13 23:00:00+00:00,71177.43,70649.98,71952.655,0.18,2026-03-14 01:15:00+00:00,70649.98,sl_hit,-94.94099999999948,-1.0,1.26
20,BTCUSD,bullish,fvg_retest,80.0,2026-03-14 01:45:00+00:00,70715.02,70649.98,70809.455,1.46,2026-03-14 01:45:00+00:00,70809.455,tp_hit,137.8750999999966,1.4519526445262276,10.219999999999999
21,BTCUSD,bullish,fvg_retest,80.0,2026-03-14 02:00:00+00:00,70808.87,70649.98,71045.08,0.61,2026-03-14 03:30:00+00:00,70649.98,sl_hit,-96.92289999999964,-1.0,4.27
22,BTCUSD,bullish,fvg_retest,65.0,2026-03-14 10:00:00+00:00,70632.4,70177.87,71305.095,0.21,2026-03-15 05:00:00+00:00,71305.095,tp_hit,141.26595000000145,1.4799793192968753,1.47
23,BTCUSD,bullish,fvg_retest,90.0,2026-03-15 05:15:00+00:00,71297.97,70944.93,71822.355,0.27,2026-03-15 12:00:00+00:00,71822.355,tp_hit,141.5839499999986,1.4853416043507326,1.8900000000000001
24,BTCUSD,bullish,fvg_retest,80.0,2026-03-15 12:30:00+00:00,71840.94,71708.09,72035.165,0.74,2026-03-15 12:45:00+00:00,71708.09,sl_hit,-98.3090000000043,-1.0,5.18
25,BTCUSD,bullish,fvg_retest,80.0,2026-03-15 13:30:00+00:00,71854.04,71708.09,72067.64,0.67,2026-03-15 14:00:00+00:00,71708.09,sl_hit,-97.78649999999806,-1.0,4.69
